Device,Device Group,First Name,Device ID,User ID,Last Name,Driver,Driver Group,Depart Date,Start Date,Start During Work Hours,Driving Duration,Stop Date,Stop During Work Hours,Distance,Stop Duration,Origin,Destination,Stop Zone Types,Idling Duration,Maximum Speed,Start of Trip Engine Hours,End of Trip Engine Hours,Linked Assets
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.34411,46273.34411,TRUE,0.0234375,46273.36755,TRUE,5.282673359,0.008020833,"49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","110518,Hindsbury Primary: Hamlet Road, Bridgetown, Barbados",Customer Zone,0.008020833,50,236.0008083,236.0322666,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.37557,46273.37557,TRUE,0.009409722,46273.38498,TRUE,2.207590342,0.003854167,"110518,Hindsbury Primary: Hamlet Road, Bridgetown, Barbados","39RR+RR4, Ladymeade Gardens, Bridgetown, Saint Michael Barbados",0,0.003854167,66,236.0322666,236.0455321,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.38883,46273.38883,TRUE,0.007060185,46273.39589,TRUE,2.503163815,0.005474537,"39RR+RR4, Ladymeade Gardens, Bridgetown, Saint Michael Barbados","492J+GPV, Masonhall St, Bridgetown, Saint Michael Barbados",0,0.005474537,52,236.0455321,236.0569442,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.40137,46273.40137,TRUE,0.014409722,46273.41578,TRUE,4.11583662,0.006886574,"492J+GPV, Masonhall St, Bridgetown, Saint Michael Barbados","494J+C5H, Westbury Rd, Bridgetown, Saint Michael Barbados",0,0.006886574,50,236.0569442,236.0793628,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.42266,46273.42266,TRUE,0.006134259,46273.4288,TRUE,3.154304504,0.006631944,"494J+C5H, Westbury Rd, Bridgetown, Saint Michael Barbados","49GF+HG2, Black Rock Main Rd, Bridgetown, Saint Michael Barbados",0,0.006631944,57,236.0793628,236.0912263,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.43543,46273.43543,TRUE,0.002465278,46273.43789,TRUE,1.06096375,0.012766204,"49GF+HG2, Black Rock Main Rd, Bridgetown, Saint Michael Barbados","Free Hill Crescent, 49JF+MG5, Free Hill Rd, Bridgetown, Barbados",0,0.012766204,46,236.0912263,236.1073605,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.45066,46273.45066,TRUE,0.00400463,46273.45466,TRUE,1.377199769,0.010324074,"Free Hill Crescent, 49JF+MG5, Free Hill Rd, Bridgetown, Barbados","St Stephens Hill Rd, Barbados",0,0.010324074,37,236.1073605,236.1216898,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.46499,46273.46499,TRUE,0.005439815,46273.47043,TRUE,3.453576565,0.032534722,"St Stephens Hill Rd, Barbados","Prior Park Rd, Barbados",0,0.032534722,65,236.1216898,236.1585416,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.50296,46273.50296,TRUE,0.00849537,46273.51146,TRUE,6.169656277,0.056006944,"Prior Park Rd, Barbados","111980,HOME IMPROVEMENT HARDWARE AND SUPPLIES: 49MV+JQW, Friendship, Barbados",Customer Zone,0.056006944,76,236.1585416,236.2241661,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.56747,46273.56747,TRUE,0.010092593,46273.57756,TRUE,5.333332062,0.021828704,"111980,HOME IMPROVEMENT HARDWARE AND SUPPLIES: 49MV+JQW, Friendship, Barbados","39XG+VXJ, Bridgetown, Barbados",0,0.021828704,66,236.2241661,236.2560875,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.59939,46273.59939,TRUE,0.004456019,46273.60384,TRUE,2.08142972,0.019409722,"39XG+VXJ, Bridgetown, Barbados","497P+88P, Bridgetown, Saint Michael Barbados",0,0.019409722,74,236.2560875,236.2788768,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.62325,46273.62325,TRUE,0.007743056,46273.631,TRUE,2.032927752,0.033368056,"497P+88P, Bridgetown, Saint Michael Barbados","110118,INDEX ENTERPRISES: 19 Roebuck St, Bridgetown, Barbados",Customer Zone,0.033368056,52,236.2788768,236.320243,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.66436,46273.66436,TRUE,0.003252315,46273.66762,TRUE,0.728878021,0.006898148,"110118,INDEX ENTERPRISES: 19 Roebuck St, Bridgetown, Barbados","Highway 7, Bridgetown BB11045, Barbados",0,0.006898148,37,236.320243,236.3312152,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.67451,46273.67451,TRUE,0.00400463,46273.67852,TRUE,0.961596549,0.002523148,"Highway 7, Bridgetown BB11045, Barbados","James St, Bridgetown, Barbados",0,0.002523148,44,236.3312152,236.337743,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.68104,46273.68104,TRUE,0.011168981,46273.69221,TRUE,1.272974849,0.013252315,"James St, Bridgetown, Barbados","10-14 Broad St, Bridgetown, Barbados",0,0.013252315,48,236.337743,236.3621643,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.70546,46273.70546,TRUE,0.025625,46273.73109,FALSE,6.110306263,0.008947488,"10-14 Broad St, Bridgetown, Barbados","49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","Customer Zone, Office Zone",0.002604167,65,236.3621643,236.3875,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.74004,46273.74004,FALSE,0.000473808,46273.74051,FALSE,0.018115265,0.022026192,"49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,0.000104167,0,236.3875,236.3875,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.76254,46273.76254,FALSE,0.000959919,46273.7635,FALSE,0.190223798,0.499989155,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados, 117234,Hannah Moore: Highway 2, Barbados",Customer Zone,0.000439815,28,236.3875,236.3916667,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.26348,46274.26348,FALSE,0.00045213,46274.26394,FALSE,0.03921546,0.057625833,"49PV+JC5, Barbados, 117234,Hannah Moore: Highway 2, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,0.004710648,0,236.3916667,236.3963889,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.32156,46274.32156,FALSE,0.017719907,46274.33928,TRUE,4.326865673,0.026550926,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","100246,WESTBURY PRIMARY: Westbury Rd, Bridgetown, Barbados",Customer Zone,0.026550926,61,236.3963889,236.4406595,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.36583,46274.36583,TRUE,0.002199074,46274.36803,TRUE,1.233312607,0.020659722,"100246,WESTBURY PRIMARY: Westbury Rd, Bridgetown, Barbados","Kensington New Rd, Bridgetown, Barbados",0,0.020659722,63,236.4406595,236.4635183,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.38869,46274.38869,TRUE,0.012858796,46274.40155,TRUE,6.641977787,0.002372685,"Kensington New Rd, Bridgetown, Barbados","Hothersal Turning, Saint Michael Barbados",0,0.002372685,68,236.4635183,236.4787495,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.40392,46274.40392,TRUE,0.000844907,46274.40477,TRUE,0.035937835,0.018275463,"Hothersal Turning, Saint Michael Barbados","Hwy 3A, Jackmans, Barbados",0,0.018275463,12,236.4787495,236.496805,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.42304,46274.42304,TRUE,0.003449074,46274.42649,TRUE,3.623929024,0.016608796,"Hwy 3A, Jackmans, Barbados","Highway 5, Bridgetown, Barbados",0,0.016608796,100,236.496805,236.517928,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.4431,46274.4431,TRUE,0.005347222,46274.44845,TRUE,5.085574627,0.024108796,"Highway 5, Bridgetown, Barbados","115762,Marway Bar and Restaurant, 111202,SOL CHARLES ROWE BRIDGE: 4CJJ+27 Froster Hall, Barbados",Customer Zone,0.024108796,88,236.517928,236.547384,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.47256,46274.47256,TRUE,0.010960648,46274.48352,TRUE,12.69523335,0.003171296,"115762,Marway Bar and Restaurant, 111202,SOL CHARLES ROWE BRIDGE: 4CJJ+27 Froster Hall, Barbados","Highway 5, Six Cross Roads, Barbados",0,0.003171296,88,236.547384,236.5606361,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.48669,46274.48669,TRUE,0.003958333,46274.49065,TRUE,2.979056597,0.003900463,"Highway 5, Six Cross Roads, Barbados","116313,Wharton: Church Village, Barbados",Customer Zone,0.003900463,81,236.5606361,236.5693745,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.49455,46274.49455,TRUE,0.008784722,46274.50333,TRUE,6.995017052,0.010868056,"116313,Wharton: Church Village, Barbados","3FWW+838, Fair View, Barbados",0,0.010868056,81,236.5693745,236.5890273,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46274.5142,46274.5142,TRUE,0.00625,46274.52045,TRUE,3.669376373,0.005763889,"3FWW+838, Fair View, Barbados","117963,Rubis Coverley, 117291,MASSY STORES BARBADOS - COVERLY: Coconut Lane, The Villages at Coverly, Christ Church, Barbados",Customer Zone,0.005763889,87,236.5890273,236.6010414,0
